날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-05-15","배추김치(5~6월)","21.68kcal","배추김치(5~6월)","21.68kcal","깻잎무침(05)(06)","27.42kcal","","","3124.64kcal"
"2021-05-15","우유(백색우유(200ML,연간))(02)","122kcal","감귤 주스(180㎖/병)","180kcal","깍두기(임가공)","28.59kcal","","","3124.64kcal"
"2021-05-16","밥1","363kcal","밥","381.15kcal","밥","381.15kcal","","","2973.99kcal"
"2021-05-16","시금치된장국(05)(06)","72.2kcal","두부맑은국(01)(05)","50.98kcal","버섯된장찌개(05)(06)","74.34kcal","","","2973.99kcal"
"2021-05-16","참치김치볶음","94.64kcal","까르보나라떡볶이(10)","282.1kcal","제육볶음(05)(06)(10)","430.31kcal","","","2973.99kcal"
"2021-05-16","맛김","5.25kcal","닭고기매운조림(05)(06)(15)","335.23kcal","오이무침(05)(06)","53.82kcal","","","2973.99kcal"
"2021-05-16","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","양배추쌈(05)(06)","75.87kcal","","","2973.99kcal"
"2021-05-16","우유(백색우유(200ML,연간))(02)","122kcal","감귤 주스(180㎖/병)","180kcal","배추김치(5~6월)","21.68kcal","","","2973.99kcal"
"2021-05-17","밥1","363kcal","흑미밥","399.9kcal","밥","381.15kcal","","","2978.56kcal"
"2021-05-17","쇠고기미역국(05)(16)","33.03kcal","명태매운탕(05)(06)","77.65kcal","감자양파찌개(05)(06)(10)","136.02kcal","","","2978.56kcal"
"2021-05-17","햄슬라이스야채볶음(05)(06)(10)","142.16kcal","잡채(05)(06)(16)","179.06kcal","파닭(파채닭튀김)(05)(06)(15)","430.9kcal","","","2978.56kcal"
"2021-05-17","순두부양념장(05)(06)","72.94kcal","훈제오리/쌈무/머스타드소스(01)","269.98kcal","야채샐러드(01)(05)(06)(12)","67.93kcal","","","2978.56kcal"
"2021-05-17","오징어젓무침(17)","29.23kcal","배추김치(5~6월)","21.68kcal","오이양파장아찌(05)(06)","25.26kcal","","","2978.56kcal"
"2021-05-17","깍두기(임가공)","28.59kcal","워터젤리","176.4kcal","배추김치(5~6월)","21.68kcal","","","2978.56kcal"
"2021-05-17","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2978.56kcal"
"2021-05-18","밥1","363kcal","검은콩밥","355.18kcal","새우버거(01)(06)(09)(12)","924.88kcal","","","3181.67kcal"
"2021-05-18","콩나물국(05)(09)","16.85kcal","북어채국(01)(05)(09)","83.69kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3181.67kcal"
"2021-05-18","돼지고기김치볶음(06)(10)","261.28kcal","오삼불고기(05)(06)(10)(17)","431.18kcal","","","","","3181.67kcal"
"2021-05-18","맛김","5.25kcal","모듬쌈(05)(06)","49.51kcal","","","","","3181.67kcal"
"2021-05-18","감자조림(05)(06)","119.08kcal","배추김치(5~6월)","21.68kcal","","","","","3181.67kcal"
"2021-05-18","깍두기(임가공)","28.59kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","3181.67kcal"
"2021-05-18","감귤 주스(180㎖/병)","180kcal","사이다","97.5kcal","","","","","3181.67kcal"
"2021-05-19","밥1","363kcal","비빔밥(05)(06)(16)","735.36kcal","잡곡밥","381.33kcal","","","3151.79kcal"
"2021-05-19","버섯쇠고기찌개(05)(16)","50.05kcal","호박된장찌개(05)(06)","75.25kcal","쇠고기육개장(01)(05)(16)","88.18kcal","","","3151.79kcal"
"2021-05-19","비엔나소시지케찹볶음(10)(12)","374.83kcal","계란후라이(01)","125.74kcal","돼지고기부추볶음(05)(06)(10)","342.91kcal","","","3151.79kcal"
"2021-05-19","콩나물무침(05)(06)","36.37kcal","배추김치(5~6월)","21.68kcal","시금치고추장무침(05)(06)","59.86kcal","","","3151.79kcal"
"2021-05-19","브로콜리/초고추장(06)","54.96kcal","아이스크림, 떠먹는형","270kcal","깍두기(임가공)","28.59kcal","","","3151.79kcal"
"2021-05-19","배추김치(5~6월)","21.68kcal","","","","","","","3151.79kcal"
"2021-05-19","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3151.79kcal"
"2021-05-20","쇠고기덮밥(01)(05)(06)(16)","666.96kcal","생우동(01)(05)(06)","476.22kcal","잡곡밥","381.33kcal","","","3062.47kcal"
"2021-05-20","콩나물김치국(05)","13.84kcal","오징어튀김(01)(05)(06)","332.71kcal","순두부찌개(01)(05)(10)(18)","102.06kcal","","","3062.47kcal"
"2021-05-20","맛김","5.25kcal","배추김치(5~6월)","21.68kcal","돈가스(05)(06)(10)","434.38kcal","","","3062.47kcal"
"2021-05-20","감자조림(05)(06)","119.08kcal","우유(백색우유(200ML,연간))(02)","122kcal","비빔당면(05)(06)","162.78kcal","","","3062.47kcal"
"2021-05-20","임시3(02)","167kcal","","","깍두기(임가공)","28.59kcal","","","3062.47kcal"
"2021-05-20","깍두기(임가공)","28.59kcal","","","","","","","3062.47kcal"
"2021-05-21","밥1","363kcal","잡곡밥","381.33kcal","잡곡밥","381.33kcal","","","3077.55kcal"
"2021-05-21","두부고추장찌개(05)(06)(10)","152.16kcal","감자수제비국(01)(05)(06)","60.34kcal","버섯된장찌개(05)(06)","74.34kcal","","","3077.55kcal"
"2021-05-21","꽈리고추멸치볶음","144.2kcal","낙지볶음(05)(06)","144.51kcal","돼지고기수육(05)(06)(09)(10)","566.17kcal","","","3077.55kcal"
"2021-05-21","닭고기매운조림(05)(06)(15)","335.23kcal","오이부추무침(05)(06)","28.13kcal","상추쌈(05)(06)","41.95kcal","","","3077.55kcal"
"2021-05-21","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","깍두기(임가공)","28.59kcal","","","3077.55kcal"
"2021-05-21","유산균 발효 음료(02)","56kcal","아이스크림 콘,완제품(02)","270kcal","","","","","3077.55kcal"
"2021-05-22","불고기버거(01)(06)(10)(12)","837.44kcal","햄야채볶음밥(10)(12)","549.67kcal","검은콩밥","355.18kcal","","","2980.85kcal"
"2021-05-22","우유(백색우유(200ML,연간))(02)","122kcal","계란국(01)(05)","65.95kcal","김치찌개(05)(06)(10)","138.84kcal","","","2980.85kcal"
"2021-05-22","","","김자반","34.4kcal","오징어볶음(05)(06)(17)","304.02kcal","","","2980.85kcal"
"2021-05-22","","","콩나물매운무침(05)","39.64kcal","스크램블에그(01)(05)(06)(12)","154.02kcal","","","2980.85kcal"
"2021-05-22","","","배추김치(5~6월)","21.68kcal","깻잎무침(05)(06)","27.42kcal","","","2980.85kcal"
"2021-05-22","","","감귤 주스(180㎖/병)","180kcal","깍두기(임가공)","28.59kcal","","","2980.85kcal"
"2021-05-22","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2980.85kcal"
"2021-05-23","밥1","363kcal","자장면(05)(06)(10)(17)","816.95kcal","밥","381.15kcal","","","3285.01kcal"
"2021-05-23","감자양파찌개(05)(06)(10)","136.02kcal","고추잡채(05)(06)(10)","194.93kcal","닭볶음탕(06)(15)","322.8kcal","","","3285.01kcal"
"2021-05-23","생선묵볶음(05)(06)","157.33kcal","단무지무침","10.92kcal","돼지고기부추볶음(05)(06)(10)","342.91kcal","","","3285.01kcal"
"2021-05-23","쇠고기파프리카볶음(05)(06)(16)","221.3kcal","배추김치(5~6월)","21.68kcal","무생채(05)(06)","42.5kcal","","","3285.01kcal"
"2021-05-23","맛김","5.25kcal","요구르트,떠먹는형(02)","96kcal","배추김치(5~6월)","21.68kcal","","","3285.01kcal"
"2021-05-23","깍두기(임가공)","28.59kcal","","","","","","","3285.01kcal"
"2021-05-23","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3285.01kcal"
"2021-05-24","밥1","363kcal","흑미밥","399.9kcal","밥","381.15kcal","","","3665.24kcal"
"2021-05-24","사골곰탕","158.2kcal","북어채국(01)(05)(09)","83.69kcal","생선묵국(05)(06)","60.76kcal","","","3665.24kcal"
"2021-05-24","마파두부(05)(06)(10)","329.7kcal","쇠고기불고기(05)(06)(16)","168.35kcal","떡볶이(05)(06)","279.19kcal","","","3665.24kcal"
"2021-05-24","감자조림(05)(06)","119.08kcal","오이무침(05)(06)","53.82kcal","팝콘형치킨너겟(01)(06)","453.66kcal","","","3665.24kcal"
"2021-05-24","오징어젓무침(17)","29.23kcal","파김치","21.24kcal","배추김치(5~6월)","21.68kcal","","","3665.24kcal"
"2021-05-24","깍두기(임가공)","28.59kcal","감귤 주스(180㎖/병)","180kcal","","","","","3665.24kcal"
"2021-05-24","코코아 음료 분말(간호사관학교)","412kcal","","","","","","","3665.24kcal"
"2021-05-24","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3665.24kcal"
"2021-05-25","밥1","363kcal","쫄면(01)(05)(06)","848.27kcal","검은콩밥","355.18kcal","","","3303.63kcal"
"2021-05-25","두부고추장찌개(05)(06)(10)","152.16kcal","콩나물국(05)(09)","16.85kcal","된장국(일품용)(05)","27.85kcal","","","3303.63kcal"
"2021-05-25","느타리버섯볶음(05)(06)(16)","80.1kcal","만두튀김(01)(05)(06)(10)","428.04kcal","돼지고기콩나물볶음(05)(06)(10)","391.57kcal","","","3303.63kcal"
"2021-05-25","김자반","34.4kcal","배추김치(5~6월)","21.68kcal","오징어채볶음(05)(06)(17)","155.56kcal","","","3303.63kcal"
"2021-05-25","시금치고추장무침(05)(06)","59.86kcal","멜론(여름)","90kcal","야채샐러드(01)(05)(06)(12)","67.93kcal","","","3303.63kcal"
"2021-05-25","깍두기(임가공)","28.59kcal","","","깍두기(임가공)","28.59kcal","","","3303.63kcal"
"2021-05-25","우유,살균형(바나나)","154kcal","","","","","","","3303.63kcal"
"2021-05-26","밥1","363kcal","잡곡밥","381.33kcal","잡곡밥","381.33kcal","","","3493.00kcal"
"2021-05-26","쇠고기미역국(05)(16)","33.03kcal","홍합탕(05)","36.11kcal","짬뽕찌개(01)(09)(17)","99.35kcal","","","3493.00kcal"
"2021-05-26","비엔나소시지케찹볶음(10)(12)","374.83kcal","돈가스(05)(06)(10)","434.38kcal","두부김치(05)(10)","293.73kcal","","","3493.00kcal"
"2021-05-26","맛김","5.25kcal","오이부추무침(05)(06)","28.13kcal","야채튀김(06)","317.13kcal","","","3493.00kcal"
"2021-05-26","감자조림(05)(06)","119.08kcal","배추김치(5~6월)","21.68kcal","콩나물무침(05)(06)","36.37kcal","","","3493.00kcal"
"2021-04-28","감자조림(05)(06)","148.99kcal","두부간장볶음(05)(06)","78.57kcal","떡볶이(05)(06)","292.29kcal","","","3646.37kcal"
"2021-04-28","오이부추무침(05)(06)","24.86kcal","갈치순살튀김(06)","346.3kcal","만두튀김(01)(05)(06)(10)","402.02kcal","","","3646.37kcal"
"2021-04-28","임시3(02)","167kcal","계란찜(01)","144.48kcal","배추김치(3~4월)","9.25kcal","","","3646.37kcal"
"2021-04-28","깍두기(임가공)","28.59kcal","배추김치(3~4월)","9.25kcal","","","","","3646.37kcal"
"2021-04-28","가공우유(바나나)(02)","167kcal","아이스크림 샌드위치(02)","252kcal","","","","","3646.37kcal"
"2021-04-28","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3646.37kcal"
"2021-04-29","햄치즈버거(01)(02)(06)(10)(12)","1205.03kcal","스파게티(06)(09)(12)","833.47kcal","잡곡밥","381.33kcal","","","3401.83kcal"
"2021-04-29","우유(백색우유(200ML,연간))(02)","122kcal","오징어튀김(01)(05)(06)","302.56kcal","감자양파찌개(05)(06)(10)","136.02kcal","","","3401.83kcal"
"2021-04-29","","","배추김치(3~4월)","9.25kcal","쇠고기불고기(05)(06)(16)","169.05kcal","","","3401.83kcal"
"2021-04-29","","","참외(4월~5월)","38kcal","양배추쌈(05)(06)","73.87kcal","","","3401.83kcal"
"2021-04-29","","","","","배추김치(3~4월)","9.25kcal","","","3401.83kcal"
"2021-04-29","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","3401.83kcal"
"2021-04-30","밥1","363kcal","흑미밥","399.9kcal","밥","381.15kcal","","","2882.44kcal"
"2021-04-30","꼬꼬떡국(05)(15)","268.37kcal","호박된장찌개(05)(06)","74.18kcal","닭고기육개장(01)(05)(15)","163.83kcal","","","2882.44kcal"
"2021-04-30","깻잎무침(05)(06)","31.57kcal","마늘종멸치볶음(05)(06)","128.67kcal","돼지고기김치볶음(06)(10)","232.65kcal","","","2882.44kcal"
"2021-04-30","오징어젓무침(17)","32.07kcal","탕수육(완제품용)(05)(06)(10)(12)","384.49kcal","시금치된장무침(05)","35.07kcal","","","2882.44kcal"
"2021-04-30","배추김치(3~4월)","9.25kcal","배추김치(3~4월)","9.25kcal","깍두기(임가공)","28.59kcal","","","2882.44kcal"
"2021-04-30","우유(백색우유(200ML,연간))(02)","122kcal","반건조고구마","218.4kcal","","","","","2882.44kcal"
"2021-05-01","밥1","363kcal","검은콩밥","355.18kcal","밥","381.15kcal","","","2614.58kcal"
"2021-05-01","쇠고기무국(05)(16)","40.42kcal","감자양파찌개(05)(06)(10)","136.02kcal","버섯쇠고기찌개(05)(16)","50.05kcal","","","2614.58kcal"
"2021-05-01","오징어채볶음(05)(06)(17)","155.56kcal","닭갈비(05)(06)(15)","287.97kcal","소시지야채볶음(10)","277.97kcal","","","2614.58kcal"
"2021-05-01","맛김","5.25kcal","콩나물무침(05)(06)","36.37kcal","두부조림(05)(06)","234.19kcal","","","2614.58kcal"
"2021-05-01","배추김치(5~6월)","21.68kcal","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","","","2614.58kcal"
"2021-05-01","우유(백색우유(200ML,연간))(02)","122kcal","사이다","97.5kcal","","","","","2614.58kcal"
"2021-05-02","밥1","363kcal","밥","381.15kcal","김치덮밥(05)(06)(10)","634.5kcal","","","2699.65kcal"
"2021-05-02","오징어국(05)(17)","79.82kcal","배추된장국(05)","49.02kcal","계란국(01)(05)","65.95kcal","","","2699.65kcal"
"2021-05-02","감자채볶음","118.87kcal","돼지불고기(05)(06)(10)","397.15kcal","김자반","34.4kcal","","","2699.65kcal"
"2021-05-02","스크램블에그(01)(05)(06)(12)","154.02kcal","오이무침(05)(06)","53.82kcal","깍두기(임가공)","28.59kcal","","","2699.65kcal"
"2021-05-02","과일1(02)","116kcal","배추김치(5~6월)","21.68kcal","","","","","2699.65kcal"
"2021-05-02","배추김치(5~6월)","21.68kcal","감귤 주스(180㎖/병)","180kcal","","","","","2699.65kcal"
"2021-05-03","밥1","363kcal","흑미밥","399.9kcal","밥","381.15kcal","","","2819.79kcal"
"2021-05-03","조갯살미역국(05)(18)","23.91kcal","쇠고기육개장(01)(05)(16)","88.18kcal","두부고추장찌개(05)(06)(10)","152.16kcal","","","2819.79kcal"
"2021-05-03","비엔나소시지야채볶음(05)(06)(10)","333.55kcal","잡채(05)(06)(16)","179.06kcal","닭강정(05)(06)(12)(15)","413.1kcal","","","2819.79kcal"
"2021-05-03","순두부양념장(05)(06)","72.94kcal","브로콜리/초고추장(06)","54.96kcal","야채샐러드(01)(05)(06)(12)","67.93kcal","","","2819.79kcal"
"2021-05-03","배추김치(5~6월)","21.68kcal","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","","","2819.79kcal"
"2021-05-03","요구르트,떠먹는형(02)","96kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","2819.79kcal"
"2021-05-04","햄치즈버거(01)(02)(06)(10)(12)","1232.65kcal","잡곡밥","381.33kcal","잡곡밥","381.33kcal","","","3265.19kcal"
"2021-05-04","우유(백색우유(200ML,연간))(02)","122kcal","닭곰탕(15)","118.5kcal","생선묵국(05)(06)","60.76kcal","","","3265.19kcal"
"2021-05-04","","","갑오징어풋마늘무침M665:갑오징어풋마늘무침대(06)","130.08kcal","떡볶이(05)(06)","279.19kcal","","","3265.19kcal"
"2021-05-04","","","시금치된장무침(05)","31.95kcal","야채튀김(06)","317.13kcal","","","3265.19kcal"
"2021-05-04","","","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","","","3265.19kcal"
"2021-05-04","","","참외(4월~5월)","38kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3265.19kcal"
"2021-05-05","떡만둣국(01)(05)(06)(10)","629.06kcal","잡곡밥","381.33kcal","돼지고기부추덮밥(05)(06)(10)","741.51kcal","","","2885.39kcal"
"2021-05-05","오징어채볶음(05)(06)(17)","155.56kcal","김치찌개(05)(06)(10)","138.84kcal","콩나물국(05)(09)","16.85kcal","","","2885.39kcal"
"2021-05-05","배추김치(5~6월)","21.68kcal","쇠고기파프리카볶음(05)(06)(16)","221.3kcal","감자조림(05)(06)","119.08kcal","","","2885.39kcal"
"2021-05-05","우유(백색우유(200ML,연간))(02)","122kcal","오이양파장아찌(05)(06)","25.26kcal","배추김치(5~6월)","21.68kcal","","","2885.39kcal"
"2021-05-05","","","파김치","21.24kcal","","","","","2885.39kcal"
"2021-05-05","","","아이스크림 콘,완제품(02)","270kcal","","","","","2885.39kcal"
"2021-05-06","밥1","363kcal","흑미밥","399.9kcal","잡곡밥","381.33kcal","","","2956.55kcal"
"2021-05-06","쇠고기무국(05)(16)","40.42kcal","생선가스(01)(06)","412.92kcal","순두부찌개(01)(05)(10)(18)","102.06kcal","","","2956.55kcal"
"2021-05-06","돼지고기김치볶음(06)(10)","261.28kcal","궁중닭찜(05)(06)(15)","282.29kcal","삼치순살튀김(05)(06)","309.32kcal","","","2956.55kcal"
"2021-05-06","맛김","5.25kcal","감자샐러드(01)","73.07kcal","브로콜리/초고추장(06)","54.96kcal","","","2956.55kcal"
"2021-05-06","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","배추김치(5~6월)","21.68kcal","","","2956.55kcal"
"2021-05-06","우유(백색우유(200ML,연간))(02)","122kcal","바나나","76.8kcal","","","","","2956.55kcal"
"2021-05-07","밥1","363kcal","영양밥(05)(06)(16)","487.89kcal","자장밥(05)(06)(10)","501.13kcal","","","2888.30kcal"
"2021-05-07","쇠고기미역국(05)(16)","33.03kcal","건새우아욱된장국(05)(06)","52.97kcal","짬뽕찌개(01)(09)(17)","99.35kcal","","","2888.30kcal"
"2021-05-07","햄슬라이스야채볶음(05)(06)(10)","142.16kcal","계란후라이(01)","125.74kcal","단무지무침","10.92kcal","","","2888.30kcal"
"2021-05-07","맛김","5.25kcal","배추김치(5~6월)","21.68kcal","깍두기(임가공)","28.59kcal","","","2888.30kcal"
"2021-05-07","깍두기(임가공)","28.59kcal","우유(백색우유(200ML,연간))(02)","122kcal","라면(즉석 컵)(06)","365kcal","","","2888.30kcal"
"2021-05-07","","","아이스크림 샌드위치(02)","252kcal","건빵(야채맛)","249kcal","","","2888.30kcal"
"2021-05-08","핫도그빵(01)(06)(10)(12)","950.06kcal","닭고기부추밥(06)(15)","693.23kcal","밥","381.15kcal","","","2967.16kcal"
"2021-05-08","우유(백색우유(200ML,연간))(02)","122kcal","두부맑은국(01)(05)","50.98kcal","감자양파찌개(05)(06)(10)","136.02kcal","","","2967.16kcal"
"2021-05-08","","","오징어젓무침(17)","29.23kcal","쇠고기불고기(05)(06)(16)","168.35kcal","","","2967.16kcal"
"2021-05-08","","","배추김치(5~6월)","21.68kcal","양배추쌈(05)(06)","75.87kcal","","","2967.16kcal"
"2021-05-08","","","에너지바","188kcal","깍두기(임가공)","28.59kcal","","","2967.16kcal"
"2021-05-08","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2967.16kcal"
"2021-05-09","밥1","363kcal","밥","381.15kcal","밥","381.15kcal","","","2493.02kcal"
"2021-05-09","쇠고기감자국(05)(16)","53.43kcal","햄소시지찌개(05)(06)(10)","223.23kcal","된장국(일품용)(05)","27.85kcal","","","2493.02kcal"
"2021-05-09","버섯호박볶음(05)(06)(09)","124.27kcal","조기양념찜(05)(06)","100.68kcal","돼지고기김치볶음(06)(10)","261.28kcal","","","2493.02kcal"
"2021-05-09","계란찜(01)","107.39kcal","무나물","59.32kcal","시금치무침(05)(06)","29.41kcal","","","2493.02kcal"
"2021-05-09","배추김치(5~6월)","21.68kcal","깍두기(임가공)","28.59kcal","깍두기(임가공)","28.59kcal","","","2493.02kcal"
"2021-05-09","우유(백색우유(200ML,연간))(02)","122kcal","감귤 주스(180㎖/병)","180kcal","","","","","2493.02kcal"
"2021-05-10","밥1","363kcal","흑미밥","399.9kcal","밥","381.15kcal","","","3713.01kcal"
"2021-05-10","꼬리곰탕","546.51kcal","광어매운탕(05)(06)","107.01kcal","김치찌개(05)(06)(10)","138.84kcal","","","3713.01kcal"
"2021-05-10","오이무침(05)(06)","53.82kcal","우엉잡채(05)(06)(16)","111.94kcal","닭고기튀김양념(05)(06)(15)","594.54kcal","","","3713.01kcal"
"2021-05-10","깍두기(임가공)","28.59kcal","오징어야채무침(05)(06)(17)","169.42kcal","야채샐러드(01)(05)(06)(12)","67.93kcal","","","3713.01kcal"
"2021-05-10","우유(백색우유(200ML,연간))(02)","122kcal","파김치","21.24kcal","백김치","15.12kcal","","","3713.01kcal"
"2021-05-10","","","코코아 음료 분말(간호사관학교)","412kcal","","","","","3713.01kcal"
"2021-05-10","","","감귤 주스(180㎖/병)","180kcal","","","","","3713.01kcal"
"2021-05-11","밥1","363kcal","꼬꼬떡국(05)(15)","236.83kcal","카레밥(06)(10)","278.43kcal","","","2779.81kcal"
"2021-05-11","생선묵국(05)(06)","60.76kcal","잡곡밥","381.33kcal","돈가스(05)(06)(10)","434.38kcal","","","2779.81kcal"
"2021-05-11","계란찜(01)","107.39kcal","두부조림(05)(06)","234.19kcal","감자샐러드(01)","73.07kcal","","","2779.81kcal"
"2021-05-11","맛김","5.25kcal","오징어젓무침(17)","29.23kcal","배추김치(5~6월)","21.68kcal","","","2779.81kcal"
"2021-05-11","깍두기(임가공)","28.59kcal","배추김치(5~6월)","21.68kcal","라면(즉석 컵)(06)","365kcal","","","2779.81kcal"
"2021-05-11","컵과일(대추방울토마토)","17kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","","","2779.81kcal"
"2021-05-12","닭죽(15)","490.01kcal","쇠고기볶음밥(05)(06)(16)","580.05kcal","잡곡밥","381.33kcal","","","3094.15kcal"
"2021-05-12","감자조림(05)(06)","119.08kcal","계란국(01)(05)","65.95kcal","쇠고기미역국(05)(16)","33.03kcal","","","3094.15kcal"
"2021-05-12","깍두기(임가공)","28.59kcal","미트볼케찹조림(01)(05)(06)(10)(12)","435.53kcal","깐풍기(05)(06)(15)","407.35kcal","","","3094.15kcal"
"2021-05-12","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(5~6월)","21.68kcal","브로콜리/초고추장(06)","54.96kcal","","","3094.15kcal"
"2021-05-12","","","유산균 발효 음료(02)","56kcal","깍두기(임가공)","28.59kcal","","","3094.15kcal"
"2021-05-12","","","","","아이스크림 콘,완제품(02)","270kcal","","","3094.15kcal"
"2021-04-13","","","감귤 주스(180㎖/병)","180kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","3478.37kcal"
"2021-04-14","밥1","363kcal","자장면(05)(06)(09)(10)(17)","832.1kcal","잡곡밥","381.33kcal","","","3214.26kcal"
"2021-04-14","김치찌개(05)(06)(10)","150.89kcal","깐풍기(05)(06)(15)","397.77kcal","쇠고기육개장(01)(05)(16)","95.67kcal","","","3214.26kcal"
"2021-04-14","감자채볶음","121.15kcal","배추김치(3~4월)","9.25kcal","잡채(05)(06)(16)","183.06kcal","","","3214.26kcal"
"2021-04-14","맛김","5.25kcal","우유(백색우유(200ML,연간))(02)","122kcal","미트볼케찹조림(01)(05)(06)(10)(12)","397.45kcal","","","3214.26kcal"
"2021-04-14","깍두기(임가공)","28.59kcal","","","배추김치(3~4월)","9.25kcal","","","3214.26kcal"
"2021-04-14","","","","","음료수,탄산,콜라","117.5kcal","","","3214.26kcal"
"2021-04-15","밥1","363kcal","밥","381.15kcal","잡곡밥","381.33kcal","","","2893.26kcal"
"2021-04-15","북어채국(01)(05)(09)","85kcal","콩나물국(05)(09)","17.13kcal","순두부찌개(01)(05)(10)(18)","108.77kcal","","","2893.26kcal"
"2021-04-15","돼지고기김치볶음(06)(10)","232.65kcal","닭강정(05)(06)(12)(15)","375.44kcal","까르보나라떡볶이(10)","282.1kcal","","","2893.26kcal"
"2021-04-15","두부양념장(05)(06)","89.32kcal","갑오징어야채무침(05)(06)(17)","122.59kcal","야채튀김(06)","243.48kcal","","","2893.26kcal"
"2021-04-15","깍두기(임가공)","28.59kcal","백김치","15.12kcal","깍두기(임가공)","28.59kcal","","","2893.26kcal"
"2021-04-15","우유(백색우유(200ML,연간))(02)","122kcal","","","컵과일(대추방울토마토)","17kcal","","","2893.26kcal"
"2021-04-16","밥1","363kcal","잡곡밥","381.33kcal","카레밥(06)(10)","278.43kcal","","","2704.37kcal"
"2021-04-16","감자양파찌개(05)(06)(10)","136.02kcal","꽃게탕(05)","54.31kcal","돈가스(05)(06)(10)","434.38kcal","","","2704.37kcal"
"2021-04-16","비엔나소시지케찹볶음(10)(12)","375.11kcal","쇠고기파프리카볶음(05)(06)(16)","220.18kcal","야채샐러드(01)(05)(06)(12)","86.83kcal","","","2704.37kcal"
"2021-04-16","맛김","5.25kcal","감자조림(05)(06)","148.99kcal","배추김치(3~4월)","9.25kcal","","","2704.37kcal"
"2021-04-16","배추김치(3~4월)","9.25kcal","파김치","21.24kcal","","","","","2704.37kcal"
"2021-04-16","우유(백색우유(200ML,연간))(02)","122kcal","이온음료","58.8kcal","","","","","2704.37kcal"
"2021-04-17","핫도그빵(01)(06)(10)(12)","798.86kcal","돼지고기부추덮밥(05)(06)(10)","742.64kcal","밥","381.15kcal","","","2876.62kcal"
"2021-04-17","우유(백색우유(200ML,연간))(02)","122kcal","콩나물김치국(05)","14.33kcal","김치찌개(05)(06)(10)","150.89kcal","","","2876.62kcal"
"2021-04-17","","","시금치고추장무침(05)(06)","70.81kcal","궁중닭찜(05)(06)(15)","293.4kcal","","","2876.62kcal"
"2021-04-17","","","깍두기(임가공)","28.59kcal","무생채(05)(06)","45.2kcal","","","2876.62kcal"
"2021-04-17","","","사이다","97.5kcal","배추김치(3~4월)","9.25kcal","","","2876.62kcal"
"2021-04-17","","","","","우유(백색우유(200ML,연간))(02)","122kcal","","","2876.62kcal"
"2021-04-18","밥1","363kcal","달걀케첩볶음밥(01)(12)","555.47kcal","밥","381.15kcal","","","2618.47kcal"
"2021-04-18","버섯쇠고기찌개(05)(16)","56.76kcal","생선묵국(05)(06)","61.25kcal","닭고기육개장(01)(05)(15)","163.83kcal","","","2618.47kcal"
"2021-04-18","햄슬라이스야채볶음(05)(06)(10)","175.36kcal","오이양파장아찌(05)(06)","35.6kcal","마파두부(05)(06)(10)","357.61kcal","","","2618.47kcal"
"2021-04-18","맛김","5.25kcal","배추김치(3~4월)","9.25kcal","콩나물매운무침(05)","43.44kcal","","","2618.47kcal"
"2021-04-18","배추김치(3~4월)","9.25kcal","아이스크림 콘,완제품(02)","270kcal","배추김치(3~4월)","9.25kcal","","","2618.47kcal"
"2021-04-18","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2618.47kcal"
"2021-04-19","밥1","363kcal","검은콩밥","355.18kcal","고추참치덮밥(05)(06)","553.39kcal","","","2954.03kcal"
"2021-04-19","김치찌개(05)(06)(10)","150.89kcal","홍합탕(05)","40.32kcal","된장국(일품용)(05)","27.85kcal","","","2954.03kcal"
"2021-04-19","느타리버섯볶음(05)(06)(16)","85.12kcal","오징어볶음(05)(06)(17)","283.02kcal","감자샐러드(01)","90.36kcal","","","2954.03kcal"
"2021-04-19","맛김","5.25kcal","치킨텐더(01)(06)(15)","650.56kcal","배추김치(3~4월)","9.25kcal","","","2954.03kcal"
"2021-04-19","깍두기(임가공)","28.59kcal","배추김치(3~4월)","9.25kcal","감귤 주스(180㎖/병)","180kcal","","","2954.03kcal"
